Datekey,Year,Month,Month Name,Start of Month,Quarter,Quarter Name,Week of Year,Start of Week,Day of Week,Day Name,Weekend Flag,IsWeekend
2017-07-03 00:00:00.000,2017,7,"July",2017-07-01 00:00:00.000,3,"3Q",27,2017-07-02 00:00:00.000,1,"Mon",0,"Workday"
2017-07-10 00:00:00.000,2017,7,"July",2017-07-01 00:00:00.000,3,"3Q",28,2017-07-09 00:00:00.000,1,"Mon",0,"Workday"
2017-07-17 00:00:00.000,2017,7,"July",2017-07-01 00:00:00.000,3,"3Q",29,2017-07-16 00:00:00.000,1,"Mon",0,"Workday"
2017-07-24 00:00:00.000,2017,7,"July",2017-07-01 00:00:00.000,3,"3Q",30,2017-07-23 00:00:00.000,1,"Mon",0,"Workday"
2017-07-31 00:00:00.000,2017,7,"July",2017-07-01 00:00:00.000,3,"3Q",31,2017-07-30 00:00:00.000,1,"Mon",0,"Workday"
2017-08-07 00:00:00.000,2017,8,"August",2017-08-01 00:00:00.000,3,"3Q",32,2017-08-06 00:00:00.000,1,"Mon",0,"Workday"
2017-08-14 00:00:00.000,2017,8,"August",2017-08-01 00:00:00.000,3,"3Q",33,2017-08-13 00:00:00.000,1,"Mon",0,"Workday"
2017-08-21 00:00:00.000,2017,8,"August",2017-08-01 00:00:00.000,3,"3Q",34,2017-08-20 00:00:00.000,1,"Mon",0,"Workday"
2017-08-28 00:00:00.000,2017,8,"August",2017-08-01 00:00:00.000,3,"3Q",35,2017-08-27 00:00:00.000,1,"Mon",0,"Workday"
2017-09-04 00:00:00.000,2017,9,"September",2017-09-01 00:00:00.000,3,"3Q",36,2017-09-03 00:00:00.000,1,"Mon",0,"Workday"
2017-09-11 00:00:00.000,2017,9,"September",2017-09-01 00:00:00.000,3,"3Q",37,2017-09-10 00:00:00.000,1,"Mon",0,"Workday"
2017-09-18 00:00:00.000,2017,9,"September",2017-09-01 00:00:00.000,3,"3Q",38,2017-09-17 00:00:00.000,1,"Mon",0,"Workday"
2017-09-25 00:00:00.000,2017,9,"September",2017-09-01 00:00:00.000,3,"3Q",39,2017-09-24 00:00:00.000,1,"Mon",0,"Workday"
2018-07-02 00:00:00.000,2018,7,"July",2018-07-01 00:00:00.000,3,"3Q",27,2018-07-01 00:00:00.000,1,"Mon",0,"Workday"
2018-07-09 00:00:00.000,2018,7,"July",2018-07-01 00:00:00.000,3,"3Q",28,2018-07-08 00:00:00.000,1,"Mon",0,"Workday"
2018-07-16 00:00:00.000,2018,7,"July",2018-07-01 00:00:00.000,3,"3Q",29,2018-07-15 00:00:00.000,1,"Mon",0,"Workday"
2018-07-23 00:00:00.000,2018,7,"July",2018-07-01 00:00:00.000,3,"3Q",30,2018-07-22 00:00:00.000,1,"Mon",0,"Workday"
2018-07-30 00:00:00.000,2018,7,"July",2018-07-01 00:00:00.000,3,"3Q",31,2018-07-29 00:00:00.000,1,"Mon",0,"Workday"
2018-08-06 00:00:00.000,2018,8,"August",2018-08-01 00:00:00.000,3,"3Q",32,2018-08-05 00:00:00.000,1,"Mon",0,"Workday"
2018-08-13 00:00:00.000,2018,8,"August",2018-08-01 00:00:00.000,3,"3Q",33,2018-08-12 00:00:00.000,1,"Mon",0,"Workday"
2018-08-20 00:00:00.000,2018,8,"August",2018-08-01 00:00:00.000,3,"3Q",34,2018-08-19 00:00:00.000,1,"Mon",0,"Workday"
2018-08-27 00:00:00.000,2018,8,"August",2018-08-01 00:00:00.000,3,"3Q",35,2018-08-26 00:00:00.000,1,"Mon",0,"Workday"
2018-09-03 00:00:00.000,2018,9,"September",2018-09-01 00:00:00.000,3,"3Q",36,2018-09-02 00:00:00.000,1,"Mon",0,"Workday"
2018-09-10 00:00:00.000,2018,9,"September",2018-09-01 00:00:00.000,3,"3Q",37,2018-09-09 00:00:00.000,1,"Mon",0,"Workday"
2018-09-17 00:00:00.000,2018,9,"September",2018-09-01 00:00:00.000,3,"3Q",38,2018-09-16 00:00:00.000,1,"Mon",0,"Workday"
2018-09-24 00:00:00.000,2018,9,"September",2018-09-01 00:00:00.000,3,"3Q",39,2018-09-23 00:00:00.000,1,"Mon",0,"Workday"
2019-07-01 00:00:00.000,2019,7,"July",2019-07-01 00:00:00.000,3,"3Q",27,2019-06-30 00:00:00.000,1,"Mon",0,"Workday"
2019-07-08 00:00:00.000,2019,7,"July",2019-07-01 00:00:00.000,3,"3Q",28,2019-07-07 00:00:00.000,1,"Mon",0,"Workday"
2019-07-15 00:00:00.000,2019,7,"July",2019-07-01 00:00:00.000,3,"3Q",29,2019-07-14 00:00:00.000,1,"Mon",0,"Workday"
2019-07-22 00:00:00.000,2019,7,"July",2019-07-01 00:00:00.000,3,"3Q",30,2019-07-21 00:00:00.000,1,"Mon",0,"Workday"
2019-07-29 00:00:00.000,2019,7,"July",2019-07-01 00:00:00.000,3,"3Q",31,2019-07-28 00:00:00.000,1,"Mon",0,"Workday"
2019-08-05 00:00:00.000,2019,8,"August",2019-08-01 00:00:00.000,3,"3Q",32,2019-08-04 00:00:00.000,1,"Mon",0,"Workday"
2019-08-12 00:00:00.000,2019,8,"August",2019-08-01 00:00:00.000,3,"3Q",33,2019-08-11 00:00:00.000,1,"Mon",0,"Workday"
2019-08-19 00:00:00.000,2019,8,"August",2019-08-01 00:00:00.000,3,"3Q",34,2019-08-18 00:00:00.000,1,"Mon",0,"Workday"
2019-08-26 00:00:00.000,2019,8,"August",2019-08-01 00:00:00.000,3,"3Q",35,2019-08-25 00:00:00.000,1,"Mon",0,"Workday"
2019-09-02 00:00:00.000,2019,9,"September",2019-09-01 00:00:00.000,3,"3Q",36,2019-09-01 00:00:00.000,1,"Mon",0,"Workday"
2019-09-09 00:00:00.000,2019,9,"September",2019-09-01 00:00:00.000,3,"3Q",37,2019-09-08 00:00:00.000,1,"Mon",0,"Workday"
2019-09-16 00:00:00.000,2019,9,"September",2019-09-01 00:00:00.000,3,"3Q",38,2019-09-15 00:00:00.000,1,"Mon",0,"Workday"
2019-09-23 00:00:00.000,2019,9,"September",2019-09-01 00:00:00.000,3,"3Q",39,2019-09-22 00:00:00.000,1,"Mon",0,"Workday"
2019-09-30 00:00:00.000,2019,9,"September",2019-09-01 00:00:00.000,3,"3Q",40,2019-09-29 00:00:00.000,1,"Mon",0,"Workday"
2020-07-06 00:00:00.000,2020,7,"July",2020-07-01 00:00:00.000,3,"3Q",28,2020-07-05 00:00:00.000,1,"Mon",0,"Workday"
2020-07-13 00:00:00.000,2020,7,"July",2020-07-01 00:00:00.000,3,"3Q",29,2020-07-12 00:00:00.000,1,"Mon",0,"Workday"
2020-07-20 00:00:00.000,2020,7,"July",2020-07-01 00:00:00.000,3,"3Q",30,2020-07-19 00:00:00.000,1,"Mon",0,"Workday"
2020-07-27 00:00:00.000,2020,7,"July",2020-07-01 00:00:00.000,3,"3Q",31,2020-07-26 00:00:00.000,1,"Mon",0,"Workday"
2020-08-03 00:00:00.000,2020,8,"August",2020-08-01 00:00:00.000,3,"3Q",32,2020-08-02 00:00:00.000,1,"Mon",0,"Workday"
2020-08-10 00:00:00.000,2020,8,"August",2020-08-01 00:00:00.000,3,"3Q",33,2020-08-09 00:00:00.000,1,"Mon",0,"Workday"
2020-08-17 00:00:00.000,2020,8,"August",2020-08-01 00:00:00.000,3,"3Q",34,2020-08-16 00:00:00.000,1,"Mon",0,"Workday"
2020-08-24 00:00:00.000,2020,8,"August",2020-08-01 00:00:00.000,3,"3Q",35,2020-08-23 00:00:00.000,1,"Mon",0,"Workday"
2020-08-31 00:00:00.000,2020,8,"August",2020-08-01 00:00:00.000,3,"3Q",36,2020-08-30 00:00:00.000,1,"Mon",0,"Workday"
2020-09-07 00:00:00.000,2020,9,"September",2020-09-01 00:00:00.000,3,"3Q",37,2020-09-06 00:00:00.000,1,"Mon",0,"Workday"
2020-09-14 00:00:00.000,2020,9,"September",2020-09-01 00:00:00.000,3,"3Q",38,2020-09-13 00:00:00.000,1,"Mon",0,"Workday"
