StoreKey,GeographyKey,StoreManager,StoreType,StoreName,StoreDescription,Status,OpenDate,CloseDate,EntityKey,ZipCode,ZipCodeExtension,StorePhone,StoreFax,AddressLine1,AddressLine2,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,GeoLocation,Geometry,ETLLoadID,LoadDate,UpdateDate
15,678,48,"Store","Contoso Renton Store","Contoso Renton Store","On",2004-02-24 00:00:00.000,,649,"97001","97015","424-555-0189","424-555-0189","Renton,Citycenter","Renton,Citycenter","",22,500,2009-06-17 00:00:00.000,"POINT (-122.189 47.4894)","POINT (-122.189 47.4894)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
17,551,135,"Store","Contoso Spokane Store","Contoso Spokane Store","On",2004-03-26 00:00:00.000,,651,"97001","97017","984-555-0185","984-555-0185","Logan Ave  Shopping mall","Logan Ave  Shopping mall","",25,700,2009-06-17 00:00:00.000,"POINT (-117.414 47.6566)","POINT (-117.414 47.6566)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
20,824,52,"Store","Contoso Englewood Store","Contoso Englewood Store","On",2004-09-29 00:00:00.000,,654,"87001","87001","435-555-0113","435-555-0113","Cherry Hills Village Shopping mall","Cherry Hills Village Shopping mall","",33,560,2009-06-17 00:00:00.000,"POINT (-104.961 39.6541)","POINT (-104.961 39.6541)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
22,571,54,"Store","Contoso Westminster Store","Contoso Westminster Store","On",2004-12-03 00:00:00.000,,656,"87001","87003","925-555-0114","925-555-0114","South Central Shopping mall","South Central Shopping mall","",22,500,2009-06-17 00:00:00.000,"POINT (-0.159302 51.5105)","POINT (-0.159302 51.5105)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
25,839,57,"Store","Contoso Greeley  No.1 Store","Contoso Greeley  No.1 Store","On",2004-03-16 00:00:00.000,,659,"80631","80631","332-555-0150","332-555-0150"," W 29th Street, Greeley CityCenter"," W 29th Street, Greeley CityCenter","",25,700,2009-06-17 00:00:00.000,"POINT (-104.696 40.4083)","POINT (-104.696 40.4083)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
27,859,59,"Store","Contoso Lafayette Store","Contoso Lafayette Store","On",2004-05-18 00:00:00.000,,661,"87001","87008","113-555-0173","113-555-0173","Lafayette Downtown","Lafayette Downtown","",19,455,2009-06-17 00:00:00.000,"POINT (-86.8644 40.4067)","POINT (-86.8644 40.4067)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
30,829,62,"Store","Contoso Fort Collins Store","Contoso Fort Collins Store","On",2004-08-21 00:00:00.000,,664,"87001","87011","656-555-0119","656-555-0119","Old Town West ST","Old Town West ST","",22,500,2009-06-17 00:00:00.000,"POINT (-105.079 40.5702)","POINT (-105.079 40.5702)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
32,877,63,"Store","Contoso Milliken Store","Contoso Milliken Store","On",2004-10-23 00:00:00.000,,666,"87001","87013","523-555-0175","523-555-0175","Milliken Downtown","Milliken Downtown","",25,700,2009-06-17 00:00:00.000,"POINT (-104.858 40.3314)","POINT (-104.858 40.3314)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
35,818,65,"Store","Contoso Denver No.2 Store","Contoso Denver No.2 Store","On",2004-10-03 00:00:00.000,,669,"87001","87016","952-555-0178","952-555-0178","West Highland Borden Ave","West Highland Borden Ave","",19,455,2009-06-17 00:00:00.000,"POINT (-105.079 39.812)","POINT (-105.079 39.812)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
37,803,66,"Store","Contoso Boulder Store","Contoso Boulder Store","On",2003-03-28 00:00:00.000,,671,"87001","87018","937-555-0137","937-555-0137","Transit Village Broadway","Transit Village Broadway","",47,1125,2009-06-17 00:00:00.000,"POINT (-105.279 40.0134)","POINT (-105.279 40.0134)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
40,790,69,"Store","Contoso Aurora Store","Contoso Aurora Store","On",2003-06-11 00:00:00.000,,674,"87001","87021","794-555-0159","794-555-0159","Willow Park Ave","Willow Park Ave","",25,700,2009-06-17 00:00:00.000,"POINT (-70.5899 41.8634)","POINT (-70.5899 41.8634)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
42,840,71,"Store","Contoso Green Bay Store","Contoso Green Bay Store","On",2003-08-03 00:00:00.000,,676,"54001","54002","286-555-0189","286-555-0189","Green Bay Downtown","Green Bay Downtown","",19,455,2009-06-17 00:00:00.000,"POINT (-88.0094 44.5195)","POINT (-88.0094 44.5195)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
45,901,74,"Store","Contoso Oshkosh Store","Contoso Oshkosh Store","On",2007-11-06 00:00:00.000,,679,"54001","54005","786-555-0144","786-555-0144","Oshkosh, WI Broadway","Oshkosh, WI Broadway","",22,500,2009-06-17 00:00:00.000,"POINT (-88.5484 44.0244)","POINT (-88.5484 44.0244)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
47,878,75,"Store","Contoso Milwaukee No.1 Store","Contoso Milwaukee No.1 Store","On",2004-01-18 00:00:00.000,,681,"54001","54007","818-555-0192","818-555-0192","Havenwoods St","Havenwoods St","",25,700,2009-06-17 00:00:00.000,"POINT (-87.9167 43.0468)","POINT (-87.9167 43.0468)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
50,949,76,"Store","Contoso Waukesha No.1 Store","Contoso Waukesha No.1 Store","On",2004-04-19 00:00:00.000,,684,"54001","54010","299-555-0113","299-555-0113","Waukesha,  Water St","Waukesha,  Water St","",19,455,2009-06-17 00:00:00.000,"POINT (-88.2367 43.0152)","POINT (-88.2367 43.0152)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
52,806,137,"Store","Contoso Burlington Store","Contoso Burlington Store","On",2004-06-17 00:00:00.000,,686,"54001","54012","639-555-0164","639-555-0164","Burlington, WI St shopping mall","Burlington, WI St shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-73.2108 44.4774)","POINT (-73.2108 44.4774)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
55,835,77,"Store","Contoso Germantown Store","Contoso Germantown Store","On",2004-09-02 00:00:00.000,,689,"54001","54015","712-555-0119","712-555-0119","Germantown, DEI St Shopping mall","Germantown, DEI St Shopping mall","",25,700,2009-06-17 00:00:00.000,"POINT (-77.7448 38.6155)","POINT (-77.7448 38.6155)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
57,913,79,"Store","Contoso Port Washington Store","Contoso Port Washington Store","On",2004-11-25 00:00:00.000,,691,"54001","54017","910-555-0116","910-555-0116","Port Washington, WIMI St Shopping mall","Port Washington, WIMI St Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-73.6834 40.826)","POINT (-73.6834 40.826)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
60,870,82,"Store","Contoso Madison Store","Contoso Madison Store","On",2004-02-28 00:00:00.000,,694,"54001","54020","499-555-0125","499-555-0125","Dudgeon-Monroe Shopping mall","Dudgeon-Monroe Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-89.4026 43.0639)","POINT (-89.4026 43.0639)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
65,918,87,"Store","Contoso Racine No.2 Store","Contoso Racine No.2 Store","On",2009-07-02 00:00:00.000,,699,"54025","54025","518-555-0199","518-555-0199","Racine, Big Shopping mall","Racine, Big Shopping mall","",19,455,2009-06-17 00:00:00.000,"POINT (-87.7838 42.7226)","POINT (-87.7838 42.7226)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
67,849,88,"Store","Contoso Houston No.2 Store","Contoso Houston No.2 Store","On",2004-03-11 00:00:00.000,,701,"70001","77010","434-555-0133","434-555-0133","Texas Houston Ryon St","Texas Houston Ryon St","",47,1125,2009-06-17 00:00:00.000,"POINT (-95.2398 29.6081)","POINT (-95.2398 29.6081)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
70,876,89,"Store","Contoso Midland Store","Contoso Midland Store","On",2003-09-12 00:00:00.000,,704,"70001","77020","611-555-0116","611-555-0116","West Way St","West Way St","",25,700,2009-06-17 00:00:00.000,"POINT (-102.109 32.0005)","POINT (-102.109 32.0005)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
72,879,91,"Store","Contoso Minden Store","Contoso Minden Store","On",2004-11-06 00:00:00.000,,706,"70001","77020","612-555-0171","612-555-0171","Minden, LA  Downtown","Minden, LA  Downtown","",26,680,2009-06-17 00:00:00.000,"POINT (8.92227 52.2913)","POINT (8.92227 52.2913)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
75,866,94,"Store","Contoso Longview Store","Contoso Longview Store","On",2004-02-19 00:00:00.000,,709,"70001","77019","309-555-0129","309-555-0129","Longview, SDallas St  Shopping mall","Longview, SDallas St  Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-0.126858 51.501)","POINT (-0.126858 51.501)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
77,897,96,"Store","Contoso Orange Store","Contoso Orange Store","On",2004-02-21 00:00:00.000,,711,"70001","77019","999-555-0155","999-555-0155","Orange Citycenter Shopping mall","Orange Citycenter Shopping mall","",17,462,2009-06-17 00:00:00.000,"POINT (-93.7683 30.0994)","POINT (-93.7683 30.0994)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
80,858,98,"Store","Contoso La Porte Store","Contoso La Porte Store","On",2004-02-18 00:00:00.000,,714,"70001","77025","420-555-0173","420-555-0173","La Porte, TXS Shopping mall","La Porte, TXS Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-95.0465 29.6672)","POINT (-95.0465 29.6672)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
82,939,100,"Store","Contoso Texas City Store","Contoso Texas City Store","On",2004-04-20 00:00:00.000,,716,"70001","77002","815-555-0138","815-555-0138","Texas City, TX St Shopping mall","Texas City, TX St Shopping mall","",33,560,2009-06-17 00:00:00.000,"POINT (-94.9741 29.4181)","POINT (-94.9741 29.4181)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
85,933,103,"Store","Contoso Spring Store","Contoso Spring Store","On",2004-07-23 00:00:00.000,,719,"70001","77004","153-555-0186","153-555-0186","Arthur Bayer Park St","Arthur Bayer Park St","",17,462,2009-06-17 00:00:00.000,"POINT (-95.3895 30.0673)","POINT (-95.3895 30.0673)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
87,925,105,"Store","Contoso San Antonio Store","Contoso San Antonio Store","On",2004-08-25 00:00:00.000,,721,"70001","77023","970-555-0118","970-555-0118","City North Region Downtown","City North Region Downtown","",26,680,2009-06-17 00:00:00.000,"POINT (-98.4979 29.4336)","POINT (-98.4979 29.4336)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
90,815,108,"Store","Contoso Dallas Store","Contoso Dallas Store","On",2008-12-02 00:00:00.000,,724,"75201","75202","986-555-0177","986-555-0177","Dallas Citycenter Shopping mall","Dallas Citycenter Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-96.8019 32.793)","POINT (-96.8019 32.793)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
92,845,110,"Store","Contoso Hillsboro Store","Contoso Hillsboro Store","On",2003-01-30 00:00:00.000,,726,"75201","75204","818-555-0128","818-555-0128","Hillsboro, TX Ward","Hillsboro, TX Ward","",17,460,2009-06-17 00:00:00.000,"POINT (-122.939 45.5343)","POINT (-122.939 45.5343)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
95,819,113,"Store","Contoso Desoto Store","Contoso Desoto Store","On",2003-03-31 00:00:00.000,,729,"75201","75207","935-555-0116","935-555-0116","Desoto, TX Shopping mall","Desoto, TX Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-104.987 39.6787)","POINT (-104.987 39.6787)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
